Timestamp,Order ID,Product,Shelf,Quantity Picked,Status
2025-02-27 15:03:05,1,A,Shelf 1,5,Fulfilled
2025-02-27 15:03:05,1,A,Shelf 2,5,Fulfilled
2025-02-27 15:03:05,1,B,N/A,0,Picked 0
2025-02-27 15:03:05,1,C,Shelf 1,10,Fulfilled
2025-02-27 15:03:05,1,D,Shelf 1,5,Fulfilled
2025-02-27 15:03:15,2,A,Shelf 2,15,Fulfilled
2025-02-27 15:03:15,2,A,Shelf 3,5,Fulfilled
2025-02-27 15:03:15,2,B,Shelf 1,10,Fulfilled
2025-02-27 15:03:15,2,B,Shelf 2,10,Fulfilled
2025-02-27 15:03:15,2,C,N/A,0,Picked 0
2025-02-27 15:03:15,2,D,Shelf 1,10,Fulfilled
2025-02-27 15:03:16,3,A,N/A,0,Picked 0
2025-02-27 15:03:16,3,B,Shelf 3,5,Fulfilled
2025-02-27 15:03:16,3,C,Shelf 1,10,Fulfilled
2025-02-27 15:03:16,3,D,Shelf 1,10,Fulfilled
2025-02-27 15:03:31,4,A,Shelf 3,5,Fulfilled
2025-02-27 15:03:31,4,A,Shelf 4,25,Fulfilled
2025-02-27 15:03:31,4,A,Shelf 5,10,Fulfilled
2025-02-27 15:03:31,4,B,Shelf 3,5,Fulfilled
2025-02-27 15:03:31,4,B,Shelf 4,2,Fulfilled
2025-02-27 15:03:31,4,C,Shelf 1,20,Fulfilled
2025-02-27 15:03:31,4,C,Shelf 2,5,Fulfilled
2025-02-27 15:03:31,4,C,Shelf 3,5,Fulfilled
2025-02-27 15:03:31,4,C,Shelf 4,4,Fulfilled
2025-02-27 15:03:31,4,D,Shelf 1,6,Fulfilled
2025-02-27 15:03:35,1,A,Shelf 5,5,Fulfilled
2025-02-27 15:03:35,1,A,Shelf 6,5,Fulfilled
2025-02-27 15:03:35,1,B,N/A,0,Picked 0
2025-02-27 15:03:35,1,C,Shelf 4,6,Fulfilled
2025-02-27 15:03:35,1,C,Shelf 5,4,Fulfilled
2025-02-27 15:03:35,1,D,Shelf 1,5,Fulfilled
2025-02-27 15:03:35,2,A,Shelf 7,10,Fulfilled
2025-02-27 15:03:35,2,A,Shelf 8,10,Fulfilled
2025-02-27 15:03:35,2,B,Shelf 4,8,Fulfilled
2025-02-27 15:03:35,2,B,Shelf 5,12,Fulfilled
2025-02-27 15:03:35,2,C,N/A,0,Picked 0
2025-02-27 15:03:35,2,D,Shelf 1,10,Fulfilled
2025-02-27 15:03:35,3,A,N/A,0,Picked 0
2025-02-27 15:03:35,3,B,Shelf 5,5,Fulfilled
2025-02-27 15:03:35,3,C,Shelf 5,6,Fulfilled
2025-02-27 15:03:35,3,C,Shelf 6,4,Fulfilled
2025-02-27 15:03:35,3,D,Shelf 1,4,Fulfilled
2025-02-27 15:03:35,3,D,Shelf 2,5,Fulfilled
2025-02-27 15:03:35,3,D,Shelf 3,1,Fulfilled
2025-02-27 15:03:35,4,A,N/A,0,Picked 0
2025-02-27 15:03:36,4,B,Shelf 5,3,Fulfilled
2025-02-27 15:03:36,4,B,Shelf 6,4,Fulfilled
2025-02-27 15:03:36,4,C,Shelf 6,6,Fulfilled
2025-02-27 15:03:36,4,C,Shelf 7,10,Fulfilled
2025-02-27 15:03:36,4,C,Shelf 8,10,Fulfilled
2025-02-27 15:03:36,4,C,N/A,8,Partial Fulfillment
2025-02-27 15:03:36,4,D,Shelf 3,4,Fulfilled
2025-02-27 15:03:36,4,D,Shelf 4,2,Fulfilled
